Saliva,the liquid produced in your mouth to keep the mouth wet and to help to prepare food to be digested,
trace,v.to find the origin of something:,The phone company was unable to trace the call.
clinical,a.used to refer to medical work or teaching that relates to the examination and treatment of ill people:,clinical tests/training
Measles,"n.an infectious disease that produces small, red spots all over the body:",The number of deaths from measles fell by 30 per cent.
Centennial,"n.the day or year that is 100 years after a particular event, esp. an important one; the 100th anniversary:",The sculpture commemorates Wyoming’s centennial. 
spur,v.to encourage an activity or development or make it happen faster:,Rising consumer sales have the effect of spurring the economy to faster growth
Strains,n.an injury to a muscle or similar soft part of the body caused by using that part too much:,a groin/hamstring strain
Convoluted,a.very twisted:,a very convoluted route/knot
verge,n.the edge or border of something,They set up camp on the verge of the desert.
Polio,n.脊髓灰質炎，小兒麻痹症,a polio vaccination programme
Trajectory ,n.（射體在空中的）軌道，軌跡,the trajectory of a bullet/missile
Pandemic,a.（疾病）大規模流行的，廣泛蔓延的,In some parts of the world malaria is still pandemic.
transfer,"v.to convey or remove from one place, person, etc., to another",He transferred the package from one hand to the other.
operator,"n.a person who operates a machine, apparatus, or the like",a telegraph operator.
underdeveloped,a.improperly  or  insufficiently  developed,
potential,"a.possible, as opposed to actual",the potential uses of nuclear energy.
fare,"n.the price of conveyance or passage in a bus, train, airplane, or other vehicle.",bus fare
withdraw,"v.to draw back, away, or aside; take back; remove:",She withdrew her hand from his. He withdrew his savings from the bank.
decline,"v.to withhold or deny consent to do, enter into or upon, etc.; refuse:",He declined to say more about it.
consequences,"n.the effect, result, or outcome of something occurring earlier",The accident was the consequence of reckless driving.
workforce,n.the total number of workers in a specific undertaking,a holiday for the company's work force.
boost,v.to advance or aid by speaking well of; promote,She always boosts her hometown.
humiliate,"v.to cause (a person) a painful loss of pride, self-respect, or dignity; mortify.",
rank,n.a number of persons forming a separate class in a social hierarchy or in any graded body.,
distribute,v.to divide and give out in shares; deal out; allot.,
contrast,"v.to compare in order to show unlikeness or differences; note the opposite natures, purposes, etc.",Contrast the political rights of Romans and Greeks.
process,n.a systematic series of actions directed to some end,to devise a process for homogenizing milk.
merchants,n.a person who buys and sells commodities for profit; dealer; trader.,
anonymous,"a.without any name acknowledged, as that of author, contributor, or the like:",an anonymous letter to the editor; an anonymous donation.
determined,a.resolute; staunch,the determined defenders of the Alamo.
valuable,a.having considerable monetary worth; costing or bringing a high price,a valuable painting; a valuable crop.
combine,v.to bring into or join in a close union or whole; unite:,She combined the ingredients to make the cake. They combined the two companies.
petroleum,"n.an oily, thick, flammable, usually dark-colored liquid that is a form of bitumen or a mixture of various hydrocarbons",
soft drink,"n.a beverage that is not alcoholic or intoxicating and is usually carbonated, as root beer or ginger ale.",
Throughout,in or to every part of; everywhere in:,They searched throughout the house.
smash,"v.to break to pieces with violence and often with a crashing sound, as by striking, letting fall, or dashing against something; shatter:",He smashed the vase against the wall.
capitalism ,"n.an economic system in which investment in and ownership of the means of production, distribution, and exchange of wealth is made and maintained chiefly by private individuals or corporations, especially as contrasted to cooperatively or state-owned means of wealth.",
provocative,"a.tending or serving to provoke; inciting, stimulating, irritating, or vexing.",
dominate,v.to rule over; govern; control,
abstinence,"n.forbearance from any indulgence of appetite, especially from the use of alcoholic beverages:",total abstinence
embargo,n.an order of a government prohibiting the movement of merchant ships into or out of its ports.,
